SP,Date,Year,shead,ehead
0,28/04/2024,2024,464.43,464.43
1,29/04/2024,2024,464.43,464.42
2,30/04/2024,2024,464.42,464.42
3,01/05/2024,2024,464.42,464.42
4,02/05/2024,2024,464.42,464.41
5,03/05/2024,2024,464.41,464.41
6,04/05/2024,2024,464.41,464.4
7,05/05/2024,2024,464.4,464.39
8,06/05/2024,2024,464.39,464.39
9,07/05/2024,2024,464.39,464.38
10,08/05/2024,2024,464.38,464.38
11,09/05/2024,2024,464.38,464.38
12,10/05/2024,2024,464.38,464.37
13,11/05/2024,2024,464.37,464.37
14,12/05/2024,2024,464.37,464.36
15,13/05/2024,2024,464.36,464.36
16,14/05/2024,2024,464.36,464.35
17,15/05/2024,2024,464.35,464.35
18,16/05/2024,2024,464.35,464.34
19,17/05/2024,2024,464.34,464.34
20,18/05/2024,2024,464.34,464.33
21,19/05/2024,2024,464.33,464.33
22,20/05/2024,2024,464.33,464.33
23,21/05/2024,2024,464.33,464.32
24,22/05/2024,2024,464.32,464.32
25,23/05/2024,2024,464.32,464.31
26,24/05/2024,2024,464.31,464.31
27,25/05/2024,2024,464.31,464.31
28,26/05/2024,2024,464.31,464.31
29,27/05/2024,2024,464.31,464.3
30,28/05/2024,2024,464.3,464.31
31,29/05/2024,2024,464.31,464.31
32,30/05/2024,2024,464.31,464.31
33,31/05/2024,2024,464.31,464.32
34,01/06/2024,2024,464.32,464.38
35,02/06/2024,2024,464.38,464.51
36,03/06/2024,2024,464.51,464.61
37,04/06/2024,2024,464.61,464.68
38,05/06/2024,2024,464.68,464.73
39,06/06/2024,2024,464.73,464.76
40,07/06/2024,2024,464.76,464.79
41,08/06/2024,2024,464.79,464.8
42,09/06/2024,2024,464.8,464.81
43,10/06/2024,2024,464.81,464.82
44,11/06/2024,2024,464.82,464.82
45,12/06/2024,2024,464.82,464.82
46,13/06/2024,2024,464.82,464.82
47,14/06/2024,2024,464.82,464.82
48,15/06/2024,2024,464.82,464.82
49,16/06/2024,2024,464.82,464.81
50,17/06/2024,2024,464.81,464.81
51,18/06/2024,2024,464.81,464.81
52,19/06/2024,2024,464.81,464.8
53,20/06/2024,2024,464.8,464.8
54,21/06/2024,2024,464.8,464.79
55,22/06/2024,2024,464.79,464.79
56,23/06/2024,2024,464.79,464.78
57,24/06/2024,2024,464.78,464.78
58,25/06/2024,2024,464.78,464.77
59,26/06/2024,2024,464.77,464.77
60,27/06/2024,2024,464.77,464.76
61,28/06/2024,2024,464.76,464.76
62,29/06/2024,2024,464.76,464.75
63,30/06/2024,2024,464.75,464.75
64,01/07/2024,2024,464.75,464.74
65,02/07/2024,2024,464.74,464.74
66,03/07/2024,2024,464.74,464.73
67,04/07/2024,2024,464.73,464.73
68,05/07/2024,2024,464.73,464.73
69,06/07/2024,2024,464.73,464.72
70,07/07/2024,2024,464.72,464.72
71,08/07/2024,2024,464.72,464.72
72,09/07/2024,2024,464.72,464.72
73,10/07/2024,2024,464.72,464.71
74,11/07/2024,2024,464.71,464.71
75,12/07/2024,2024,464.71,464.71
76,13/07/2024,2024,464.71,464.7
77,14/07/2024,2024,464.7,464.7
78,15/07/2024,2024,464.7,464.69
79,16/07/2024,2024,464.69,464.69
80,17/07/2024,2024,464.69,464.69
81,18/07/2024,2024,464.69,464.69
82,19/07/2024,2024,464.69,464.68
83,20/07/2024,2024,464.68,464.68
84,21/07/2024,2024,464.68,464.68
85,22/07/2024,2024,464.68,464.68
86,23/07/2024,2024,464.68,464.69
87,24/07/2024,2024,464.69,464.71
88,25/07/2024,2024,464.71,464.72
89,26/07/2024,2024,464.72,464.73
90,27/07/2024,2024,464.73,464.73
91,28/07/2024,2024,464.73,464.74
92,29/07/2024,2024,464.74,464.74
93,30/07/2024,2024,464.74,464.74
94,31/07/2024,2024,464.74,464.74
95,01/08/2024,2024,464.74,464.75
96,02/08/2024,2024,464.75,464.74
97,03/08/2024,2024,464.74,464.74
98,04/08/2024,2024,464.74,464.74
99,05/08/2024,2024,464.74,464.74
100,06/08/2024,2024,464.74,464.73
101,07/08/2024,2024,464.73,464.73
102,08/08/2024,2024,464.73,464.73
103,09/08/2024,2024,464.73,464.72
104,10/08/2024,2024,464.72,464.72
105,11/08/2024,2024,464.72,464.71
106,12/08/2024,2024,464.71,464.71
107,13/08/2024,2024,464.71,464.7
108,14/08/2024,2024,464.7,464.7
109,15/08/2024,2024,464.7,464.69
110,16/08/2024,2024,464.69,464.69
111,17/08/2024,2024,464.69,464.68
112,18/08/2024,2024,464.68,464.68
113,19/08/2024,2024,464.68,464.67
114,20/08/2024,2024,464.67,464.68
115,21/08/2024,2024,464.68,464.68
116,22/08/2024,2024,464.68,464.68
117,23/08/2024,2024,464.68,464.68
118,24/08/2024,2024,464.68,464.69
119,25/08/2024,2024,464.69,464.69
120,26/08/2024,2024,464.69,464.69
121,27/08/2024,2024,464.69,464.69
122,28/08/2024,2024,464.69,464.69
123,29/08/2024,2024,464.69,464.69
124,30/08/2024,2024,464.69,464.68
125,31/08/2024,2024,464.68,464.68
126,01/09/2024,2024,464.68,464.68
127,02/09/2024,2024,464.68,464.67
128,03/09/2024,2024,464.67,464.67
129,04/09/2024,2024,464.67,464.66
130,05/09/2024,2024,464.66,464.66
131,06/09/2024,2024,464.66,464.65
132,07/09/2024,2024,464.65,464.65
133,08/09/2024,2024,464.65,464.64
134,09/09/2024,2024,464.64,464.63
135,10/09/2024,2024,464.63,464.63
136,11/09/2024,2024,464.63,464.62
137,12/09/2024,2024,464.62,464.62
138,13/09/2024,2024,464.62,464.61
