SP,Date,Year,shead,ehead
0,28/04/2024,2024,485.64,485.64
1,29/04/2024,2024,485.64,485.64
2,30/04/2024,2024,485.64,485.63
3,01/05/2024,2024,485.63,485.63
4,02/05/2024,2024,485.63,485.63
5,03/05/2024,2024,485.63,485.62
6,04/05/2024,2024,485.62,485.62
7,05/05/2024,2024,485.62,485.62
8,06/05/2024,2024,485.62,485.63
9,07/05/2024,2024,485.63,485.64
10,08/05/2024,2024,485.64,485.65
11,09/05/2024,2024,485.65,485.65
12,10/05/2024,2024,485.65,485.65
13,11/05/2024,2024,485.65,485.65
14,12/05/2024,2024,485.65,485.65
15,13/05/2024,2024,485.65,485.65
16,14/05/2024,2024,485.65,485.65
17,15/05/2024,2024,485.65,485.65
18,16/05/2024,2024,485.65,485.65
19,17/05/2024,2024,485.65,485.66
20,18/05/2024,2024,485.66,485.67
21,19/05/2024,2024,485.67,485.68
22,20/05/2024,2024,485.68,485.69
23,21/05/2024,2024,485.69,485.69
24,22/05/2024,2024,485.69,485.7
25,23/05/2024,2024,485.7,485.72
26,24/05/2024,2024,485.72,485.73
27,25/05/2024,2024,485.73,485.74
28,26/05/2024,2024,485.74,485.74
29,27/05/2024,2024,485.74,485.74
30,28/05/2024,2024,485.74,485.78
31,29/05/2024,2024,485.78,485.79
32,30/05/2024,2024,485.79,485.8
33,31/05/2024,2024,485.8,485.82
34,01/06/2024,2024,485.82,486.07
35,02/06/2024,2024,486.07,486.32
36,03/06/2024,2024,486.32,486.36
37,04/06/2024,2024,486.36,486.37
38,05/06/2024,2024,486.37,486.35
39,06/06/2024,2024,486.35,486.32
40,07/06/2024,2024,486.32,486.29
41,08/06/2024,2024,486.29,486.24
42,09/06/2024,2024,486.24,486.21
43,10/06/2024,2024,486.21,486.17
44,11/06/2024,2024,486.17,486.13
45,12/06/2024,2024,486.13,486.09
46,13/06/2024,2024,486.09,486.05
47,14/06/2024,2024,486.05,486.02
48,15/06/2024,2024,486.02,486
49,16/06/2024,2024,486,485.97
50,17/06/2024,2024,485.97,485.95
51,18/06/2024,2024,485.95,485.93
52,19/06/2024,2024,485.93,485.91
53,20/06/2024,2024,485.91,485.89
54,21/06/2024,2024,485.89,485.88
55,22/06/2024,2024,485.88,485.88
56,23/06/2024,2024,485.88,485.86
57,24/06/2024,2024,485.86,485.85
58,25/06/2024,2024,485.85,485.85
59,26/06/2024,2024,485.85,485.84
60,27/06/2024,2024,485.84,485.82
61,28/06/2024,2024,485.82,485.81
62,29/06/2024,2024,485.81,485.79
63,30/06/2024,2024,485.79,485.78
64,01/07/2024,2024,485.78,485.77
65,02/07/2024,2024,485.77,485.76
66,03/07/2024,2024,485.76,485.75
67,04/07/2024,2024,485.75,485.74
68,05/07/2024,2024,485.74,485.73
69,06/07/2024,2024,485.73,485.74
70,07/07/2024,2024,485.74,485.75
71,08/07/2024,2024,485.75,485.75
72,09/07/2024,2024,485.75,485.75
73,10/07/2024,2024,485.75,485.75
74,11/07/2024,2024,485.75,485.75
75,12/07/2024,2024,485.75,485.74
76,13/07/2024,2024,485.74,485.74
77,14/07/2024,2024,485.74,485.74
78,15/07/2024,2024,485.74,485.73
79,16/07/2024,2024,485.73,485.74
80,17/07/2024,2024,485.74,485.74
81,18/07/2024,2024,485.74,485.73
82,19/07/2024,2024,485.73,485.73
83,20/07/2024,2024,485.73,485.72
84,21/07/2024,2024,485.72,485.75
85,22/07/2024,2024,485.75,485.83
86,23/07/2024,2024,485.83,485.83
87,24/07/2024,2024,485.83,485.83
88,25/07/2024,2024,485.83,485.82
89,26/07/2024,2024,485.82,485.81
90,27/07/2024,2024,485.81,485.8
91,28/07/2024,2024,485.8,485.8
92,29/07/2024,2024,485.8,485.79
93,30/07/2024,2024,485.79,485.78
94,31/07/2024,2024,485.78,485.78
95,01/08/2024,2024,485.78,485.77
96,02/08/2024,2024,485.77,485.77
97,03/08/2024,2024,485.77,485.78
98,04/08/2024,2024,485.78,485.78
99,05/08/2024,2024,485.78,485.77
100,06/08/2024,2024,485.77,485.76
101,07/08/2024,2024,485.76,485.76
102,08/08/2024,2024,485.76,485.76
103,09/08/2024,2024,485.76,485.76
104,10/08/2024,2024,485.76,485.76
105,11/08/2024,2024,485.76,485.75
106,12/08/2024,2024,485.75,485.75
107,13/08/2024,2024,485.75,485.76
108,14/08/2024,2024,485.76,485.76
109,15/08/2024,2024,485.76,485.76
110,16/08/2024,2024,485.76,485.76
111,17/08/2024,2024,485.76,485.76
112,18/08/2024,2024,485.76,485.76
113,19/08/2024,2024,485.76,485.79
114,20/08/2024,2024,485.79,485.79
115,21/08/2024,2024,485.79,485.79
116,22/08/2024,2024,485.79,485.78
117,23/08/2024,2024,485.78,485.77
118,24/08/2024,2024,485.77,485.76
119,25/08/2024,2024,485.76,485.75
120,26/08/2024,2024,485.75,485.74
121,27/08/2024,2024,485.74,485.74
122,28/08/2024,2024,485.74,485.73
123,29/08/2024,2024,485.73,485.72
124,30/08/2024,2024,485.72,485.71
125,31/08/2024,2024,485.71,485.71
126,01/09/2024,2024,485.71,485.7
127,02/09/2024,2024,485.7,485.7
128,03/09/2024,2024,485.7,485.7
129,04/09/2024,2024,485.7,485.7
130,05/09/2024,2024,485.7,485.71
131,06/09/2024,2024,485.71,485.71
132,07/09/2024,2024,485.71,485.71
133,08/09/2024,2024,485.71,485.72
134,09/09/2024,2024,485.72,485.74
135,10/09/2024,2024,485.74,485.75
136,11/09/2024,2024,485.75,485.75
137,12/09/2024,2024,485.75,485.76
138,13/09/2024,2024,485.76,485.77
