Layer,Row,Column
1,1,42
1,1,43
1,1,44
1,2,44
1,2,45
1,2,46
1,2,47
1,2,48
1,2,49
1,2,50
1,2,51
1,2,52
1,2,53
1,2,54
1,2,55
1,2,56
1,2,57
1,2,58
1,2,59
1,3,59
1,3,60
1,3,61
1,3,62
1,3,63
1,3,64
1,3,65
1,3,66
1,3,67
1,3,68
1,3,69
1,3,70
1,3,71
1,3,72
1,3,73
1,3,74
1,3,75
1,4,75
1,4,76
1,4,77
1,4,78
1,4,79
1,4,80
1,4,81
1,4,82
1,4,83
1,4,84
1,4,85
1,4,86
1,4,87
1,4,88
1,4,89
1,4,90
1,4,91
1,4,92
1,5,92
1,5,93
1,5,94
1,5,95
1,5,96
1,5,97
1,5,98
1,5,99
1,5,100
1,5,101
1,5,102
1,5,103
1,5,104
1,5,105
1,5,106
1,5,107
1,5,108
1,5,109
1,6,109
1,6,110
1,6,111
1,6,112
1,6,113
1,6,114
1,6,115
1,6,116
1,6,117
1,6,118
1,6,119
1,6,120
1,6,121
1,6,122
1,6,123
1,6,124
1,6,125
1,6,126
1,6,127
1,6,128
1,6,129
1,6,130
1,6,131
1,7,131
1,7,132
1,7,133
1,7,134
1,7,135
1,7,136
1,7,137
1,7,138
1,7,139
1,8,139
1,8,140
1,8,141
1,8,142
1,8,143
1,8,144
1,9,144
1,9,145
1,9,146
1,9,147
1,9,148
1,10,148
1,10,149
1,10,150
1,11,150
1,11,151
1,11,152
1,11,162
1,12,152
1,12,153
1,12,154
1,12,155
1,12,158
1,12,159
1,12,160
1,12,161
1,12,162
1,13,155
1,13,156
1,13,157
1,13,158
