Node,SP,Layer,Row,Column,Stage,Cond,Rbott
1958,0,1,12,154,464.8375500488281,Kriv1,464.4575500488281
2122,0,1,13,154,464.89583862304687,Kriv1,464.5158386230469
2286,0,1,14,154,465.00213134765625,Kriv1,464.62213134765625
2450,0,1,15,154,465.01946533203125,Kriv1,464.63946533203125
2449,0,1,15,153,464.9173840332031,Kriv1,464.5373840332031
2613,0,1,16,153,465.20101440429687,Kriv1,464.8210144042969
2777,0,1,17,153,465.4771984863281,Kriv1,465.0971984863281
2941,0,1,18,153,465.458857421875,Kriv1,465.078857421875
3105,0,1,19,153,465.2665966796875,Kriv1,464.8865966796875
3269,0,1,20,153,465.29632080078125,Kriv1,464.91632080078125
3433,0,1,21,153,465.3608654785156,Kriv1,464.9808654785156
3597,0,1,22,153,465.34490478515625,Kriv1,464.96490478515625
3761,0,1,23,153,465.400263671875,Kriv1,465.020263671875
3925,0,1,24,153,465.6150158691406,Kriv1,465.2350158691406
4089,0,1,25,153,465.4548291015625,Kriv1,465.0748291015625
4090,0,1,25,154,465.86480224609375,Kriv1,465.48480224609375
4254,0,1,26,154,465.7545422363281,Kriv1,465.3745422363281
4418,0,1,27,154,465.438837890625,Kriv1,465.058837890625
4582,0,1,28,154,465.51946533203125,Kriv1,465.13946533203125
4746,0,1,29,154,465.66402709960937,Kriv1,465.2840270996094
4910,0,1,30,154,465.7480419921875,Kriv1,465.3680419921875
5074,0,1,31,154,465.79876220703125,Kriv1,465.41876220703125
5073,0,1,31,153,465.50130737304687,Kriv1,465.1213073730469
5237,0,1,32,153,465.4936474609375,Kriv1,465.1136474609375
5401,0,1,33,153,465.5685070800781,Kriv1,465.1885070800781
5565,0,1,34,153,465.9269055175781,Kriv1,465.5469055175781
5729,0,1,35,153,465.8188732910156,Kriv1,465.4388732910156
5893,0,1,36,153,466.1388195800781,Kriv1,465.7588195800781
5892,0,1,36,152,466.00139892578125,Kriv1,465.62139892578125
6056,0,1,37,152,466.444208984375,Kriv1,466.064208984375
6220,0,1,38,152,466.6454113769531,Kriv1,466.2654113769531
6219,0,1,38,151,466.6078137207031,Kriv1,466.2278137207031
6383,0,1,39,151,466.6101330566406,Kriv1,466.2301330566406
6547,0,1,40,151,466.61776245117187,Kriv1,466.2377624511719
6546,0,1,40,150,466.5897473144531,Kriv1,466.2097473144531
6710,0,1,41,150,466.42183959960937,Kriv1,466.0418395996094
6709,0,1,41,149,466.43169677734375,Kriv1,466.05169677734375
6873,0,1,42,149,465.97857177734375,Kriv1,465.59857177734375
6872,0,1,42,148,466.0438488769531,Kriv1,465.6638488769531
7036,0,1,43,148,466.66378295898437,Kriv1,466.2837829589844
7200,0,1,44,148,467.2420910644531,Kriv1,466.8620910644531
7199,0,1,44,147,467.09542358398437,Kriv1,466.7154235839844
7363,0,1,45,147,467.244013671875,Kriv1,466.864013671875
7362,0,1,45,146,467.2442883300781,Kriv1,466.8642883300781
7526,0,1,46,146,466.62679565429687,Kriv1,466.2467956542969
7525,0,1,46,145,466.4945324707031,Kriv1,466.1145324707031
7689,0,1,47,145,467.5307873535156,Kriv1,467.1507873535156
7688,0,1,47,144,467.84112060546875,Kriv1,467.46112060546875
7852,0,1,48,144,467.7676953125,Kriv1,467.3876953125
7851,0,1,48,143,468.0620373535156,Kriv1,467.6820373535156
8015,0,1,49,143,467.65291870117187,Kriv1,467.2729187011719
8014,0,1,49,142,467.9251965332031,Kriv1,467.5451965332031
8178,0,1,50,142,467.9391125488281,Kriv1,467.5591125488281
8342,0,1,51,142,468.55501831054687,Kriv1,468.1750183105469
8341,0,1,51,141,468.11397827148437,Kriv1,467.7339782714844
8505,0,1,52,141,468.4836682128906,Kriv1,468.1036682128906
8504,0,1,52,140,467.9887951660156,Kriv1,467.6087951660156
8668,0,1,53,140,468.4260205078125,Kriv1,468.0460205078125
8667,0,1,53,139,468.0107373046875,Kriv1,467.6307373046875
8831,0,1,54,139,468.35421264648437,Kriv1,467.9742126464844
8995,0,1,55,139,468.72326171875,Kriv1,468.34326171875
8994,0,1,55,138,468.42000854492187,Kriv1,468.0400085449219
9158,0,1,56,138,468.56499755859375,Kriv1,468.18499755859375
