Node,SP,Layer,Row,Column,Stage,Cond,Rbott
13739,0,1,84,127,473.28771190474316,Kriv1,472.8041075881964
13740,0,1,84,128,473.38096907630364,Kriv1,472.8973647597569
13741,0,1,84,129,473.5030367503639,Kriv1,473.01943243381714
13904,0,1,85,128,473.4552280022044,Kriv1,472.9716236856577
13905,0,1,85,129,473.58258123476924,Kriv1,473.0989769182225
14069,0,1,86,129,473.7213701048745,Kriv1,473.23776578832775
14233,0,1,87,129,473.854801524069,Kriv1,473.37119720752224
14234,0,1,87,130,473.8954298904507,Kriv1,473.41182557390397
14397,0,1,88,129,474.0104689748001,Kriv1,473.5268646582534
14398,0,1,88,130,474.0370677258313,Kriv1,473.5534634092846
14561,0,1,89,129,474.1501124177144,Kriv1,473.66650810116766
14562,0,1,89,130,474.23434036309305,Kriv1,473.7507360465463
14563,0,1,89,131,474.3620621970886,Kriv1,473.8784578805419
14726,0,1,90,130,474.5874487809618,Kriv1,474.10384446441503
14727,0,1,90,131,474.495607493903,Kriv1,474.01200317735623
14890,0,1,91,130,474.66286806376513,Kriv1,474.1792637472184
15054,0,1,92,130,474.8010364560526,Kriv1,474.31743213950585
15055,0,1,92,131,474.8678059207344,Kriv1,474.38420160418764
15219,0,1,93,131,474.97029349185226,Kriv1,474.4866891753055
15220,0,1,93,132,475.0548962479504,Kriv1,474.57129193140366
15384,0,1,94,132,475.16554416689974,Kriv1,474.681939850353
15547,0,1,95,131,475.3555677625343,Kriv1,474.87196344598755
15548,0,1,95,132,475.2808144549273,Kriv1,474.79721013838054
15711,0,1,96,131,475.47523337074847,Kriv1,474.9916290542017
15871,0,1,97,127,476.0887218006877,Kriv1,475.605117484141
15872,0,1,97,128,475.97432544124507,Kriv1,475.4907211246983
15873,0,1,97,129,475.84088157680384,Kriv1,475.3572772602571
15874,0,1,97,130,475.6821262239818,Kriv1,475.19852190743507
15875,0,1,97,131,475.5782239312757,Kriv1,475.09461961472897
16034,0,1,98,126,476.2744892749219,Kriv1,475.79088495837516
16035,0,1,98,127,476.1636885872932,Kriv1,475.6800842707465
16036,0,1,98,128,476.02186316776874,Kriv1,475.538258851222
16197,0,1,99,125,476.46278906578056,Kriv1,475.9791847492338
16198,0,1,99,126,476.3730175122933,Kriv1,475.88941319574656
16360,0,1,100,124,476.6571318490583,Kriv1,476.17352753251157
16361,0,1,100,125,476.58568229638274,Kriv1,476.102077979836
16524,0,1,101,124,476.7707939933327,Kriv1,476.28718967678594
16525,0,1,101,125,476.7085755269849,Kriv1,476.2249712104381
16688,0,1,102,124,476.90858879647334,Kriv1,476.4249844799266
16852,0,1,103,124,477.04971553160726,Kriv1,476.5661112150605
17015,0,1,104,123,477.22901962631244,Kriv1,476.7454153097657
17016,0,1,104,124,477.18341559504967,Kriv1,476.6998112785029
17179,0,1,105,123,477.37056142635504,Kriv1,476.8869571098083
17180,0,1,105,124,477.2774783881835,Kriv1,476.79387407163676
17342,0,1,106,122,477.567881735316,Kriv1,477.08427741876926
17343,0,1,106,123,477.48130151225985,Kriv1,476.9976971957131
17505,0,1,107,121,477.7959017397494,Kriv1,477.31229742320266
17506,0,1,107,122,477.68871195204855,Kriv1,477.2051076355018
17669,0,1,108,121,477.9082690277679,Kriv1,477.42466471122117
17833,0,1,109,121,478.0733417213173,Kriv1,477.5897374047706
17997,0,1,110,121,478.23888452350945,Kriv1,477.7552802069627
