Node,SP,Layer,Row,Column,Stage,Cond,Rbott
7198,0,1,44,146,467.8836043165467,Kriv1,467.4
7199,0,1,44,147,467.8836043165467,Kriv1,467.4
7360,0,1,45,144,468.3296800064297,Kriv1,467.846075689883
7361,0,1,45,145,468.14536384016026,Kriv1,467.6617595236135
7362,0,1,45,146,467.9657529114638,Kriv1,467.4821485949171
7523,0,1,46,143,468.59946406441156,Kriv1,468.1158597478648
7524,0,1,46,144,468.44506739135994,Kriv1,467.9614630748132
7525,0,1,46,145,468.2533984557954,Kriv1,467.76979413924863
7686,0,1,47,142,468.8929779970019,Kriv1,468.40937368045513
7687,0,1,47,143,468.7290060449794,Kriv1,468.2454017284327
7848,0,1,48,140,469.427648401801,Kriv1,468.94404408525423
7849,0,1,48,141,469.25578095880053,Kriv1,468.7721766422538
7850,0,1,48,142,469.07372143078373,Kriv1,468.590117114237
8010,0,1,49,138,469.91996257371915,Kriv1,469.4363582571724
8011,0,1,49,139,469.72772767849494,Kriv1,469.2441233619482
8012,0,1,49,140,469.5224279710007,Kriv1,469.03882365445395
8013,0,1,49,141,469.31900930773753,Kriv1,468.8354049911908
8173,0,1,50,137,470.2143232854047,Kriv1,469.73071896885796
8174,0,1,50,138,470.0105601656186,Kriv1,469.52695584907184
8175,0,1,50,139,469.8782685735354,Kriv1,469.3946642569887
8335,0,1,51,135,470.6382635896443,Kriv1,470.15465927309754
8336,0,1,51,136,470.51993537277326,Kriv1,470.0363310562265
8337,0,1,51,137,470.36849745815096,Kriv1,469.8848931416042
8499,0,1,52,135,470.75586871367017,Kriv1,470.2722643971234
8500,0,1,52,136,470.82828619318246,Kriv1,470.3446818766357
8663,0,1,53,135,471.0455538349168,Kriv1,470.56194951837006
8664,0,1,53,136,471.0120011286477,Kriv1,470.52839681210094
8827,0,1,54,135,471.2684300239207,Kriv1,470.78482570737395
8828,0,1,54,136,471.20588367252356,Kriv1,470.7222793559768
8991,0,1,55,135,471.4738030335844,Kriv1,470.99019871703763
9154,0,1,56,134,471.7629491616612,Kriv1,471.27934484511445
9155,0,1,56,135,471.6637969863448,Kriv1,471.18019266979803
9317,0,1,57,133,472.12322136154074,Kriv1,471.639617044994
9318,0,1,57,134,471.94930088081566,Kriv1,471.4656965642689
9479,0,1,58,131,472.6500281487528,Kriv1,472.1664238322061
9480,0,1,58,132,472.426889998144,Kriv1,471.9432856815973
9481,0,1,58,133,472.2435194464249,Kriv1,471.75991512987815
9642,0,1,59,130,472.8803318217172,Kriv1,472.3967275051705
9643,0,1,59,131,472.70473519197265,Kriv1,472.2211308754259
9803,0,1,60,127,473.2291748144182,Kriv1,472.7455704978714
9804,0,1,60,128,473.1463417558131,Kriv1,472.6627374392664
9805,0,1,60,129,473.04639848712395,Kriv1,472.5627941705772
9806,0,1,60,130,472.96398059099755,Kriv1,472.4803762744508
9967,0,1,61,127,473.2931888189413,Kriv1,472.80958450239456
10130,0,1,62,126,473.4319588705462,Kriv1,472.9483545539995
10131,0,1,62,127,473.3876058400504,Kriv1,472.90400152350367
10294,0,1,63,126,473.5185351372787,Kriv1,473.034930820732
10458,0,1,64,126,473.61096622537536,Kriv1,473.1273619088286
10622,0,1,65,126,473.71365514518163,Kriv1,473.2300508286349
10786,0,1,66,126,473.8260387957264,Kriv1,473.34243447917964
10950,0,1,67,126,473.9144130074247,Kriv1,473.43080869087794
10951,0,1,67,127,473.9933284736808,Kriv1,473.50972415713403
11115,0,1,68,127,474.047258599115,Kriv1,473.5636542825683
11116,0,1,68,128,474.1308549735753,Kriv1,473.64725065702856
11280,0,1,69,128,474.19730621510445,Kriv1,473.7137018985577
11281,0,1,69,129,474.25520696398905,Kriv1,473.7716026474423
11445,0,1,70,129,474.346001499513,Kriv1,473.8623971829663
11609,0,1,71,129,474.452338049197,Kriv1,473.96873373265026
11773,0,1,72,129,474.55198367041174,Kriv1,474.068379353865
11937,0,1,73,129,474.6498922075845,Kriv1,474.16628789103777
12101,0,1,74,129,474.75512767669267,Kriv1,474.2715233601459
12265,0,1,75,129,474.85165554631976,Kriv1,474.368051229773
12266,0,1,75,130,474.91333039085333,Kriv1,474.4297260743066
12430,0,1,76,130,474.9851030554718,Kriv1,474.5014987389251
12594,0,1,77,130,475.08072798149055,Kriv1,474.5971236649438
12758,0,1,78,130,475.186941276632,Kriv1,474.70333696008527
12921,0,1,79,129,475.58392237149314,Kriv1,475.1003180549464
12922,0,1,79,130,475.35893049492563,Kriv1,474.8753261783789
12923,0,1,79,131,475.3142562969553,Kriv1,474.83065198040856
13082,0,1,80,126,475.8693718395322,Kriv1,475.3857675229855
13083,0,1,80,127,475.7982632375072,Kriv1,475.3146589209604
13084,0,1,80,128,475.7030538157505,Kriv1,475.21944949920373
13085,0,1,80,129,475.6043687057606,Kriv1,475.12076438921383
13086,0,1,80,130,475.4677819929974,Kriv1,474.98417767645066
13246,0,1,81,126,475.9459790972253,Kriv1,475.46237478067854
13410,0,1,82,126,476.0446683157501,Kriv1,475.5610639992033
13574,0,1,83,126,476.11882481626816,Kriv1,475.6352204997214
13575,0,1,83,127,476.1779418631614,Kriv1,475.69433754661463
13739,0,1,84,127,476.28260290070176,Kriv1,475.798998584155
13903,0,1,85,127,476.3964615890623,Kriv1,475.91285727251557
14065,0,1,86,125,476.6769423339305,Kriv1,476.1933380173838
14066,0,1,86,126,476.5750767936954,Kriv1,476.09147247714867
14067,0,1,86,127,476.4828048092825,Kriv1,475.9992004927358
14227,0,1,87,123,476.8876310699491,Kriv1,476.4040267534024
14228,0,1,87,124,476.78899119297216,Kriv1,476.3053868764254
14229,0,1,87,125,476.6940077258607,Kriv1,476.2104034093139
14390,0,1,88,122,477.01516726961484,Kriv1,476.5315629530681
14391,0,1,88,123,476.9767545752513,Kriv1,476.49315025870453
14554,0,1,89,122,477.1081766227284,Kriv1,476.6245723061817
14718,0,1,90,122,477.2021398947346,Kriv1,476.71853557818787
14881,0,1,91,121,477.37191817630804,Kriv1,476.8883138597613
14882,0,1,91,122,477.29923948374835,Kriv1,476.8156351672016
15045,0,1,92,121,477.4378399772716,Kriv1,476.95423566072486
15208,0,1,93,120,477.601665906647,Kriv1,477.11806159010024
15209,0,1,93,121,477.5503411046771,Kriv1,477.06673678813036
15372,0,1,94,120,477.6892810563282,Kriv1,477.20567673978144
15536,0,1,95,120,477.7893045136197,Kriv1,477.30570019707295
15695,0,1,96,115,478.6320991761221,Kriv1,478.14849485957535
15696,0,1,96,116,478.54124075457827,Kriv1,478.0576364380315
15697,0,1,96,117,478.43803255077194,Kriv1,477.9544282342252
15699,0,1,96,119,477.99242471477885,Kriv1,477.5088203982321
15700,0,1,96,120,477.8767420638291,Kriv1,477.39313774728237
15858,0,1,97,114,478.7735000706327,Kriv1,478.28989575408593
15859,0,1,97,115,478.72022246446977,Kriv1,478.236618147923
15861,0,1,97,117,478.3333233048808,Kriv1,477.8497189883341
