Node,SP,Layer,Row,Column,Stage,Cond,Rbott
15922,0,1,98,14,469.3818368259798,Kriv1,468.89823250943306
15923,0,1,98,15,469.52395508558146,Kriv1,469.0403507690347
15924,0,1,98,16,469.6660733451831,Kriv1,469.1824690286364
15925,0,1,98,17,469.8081916047848,Kriv1,469.32458728823804
15926,0,1,98,18,469.95030986438644,Kriv1,469.4667055478397
15927,0,1,98,19,470.09242812398816,Kriv1,469.6088238074414
15928,0,1,98,20,470.2345463835898,Kriv1,469.75094206704307
15929,0,1,98,21,470.3766646431915,Kriv1,469.89306032664473
15930,0,1,98,22,470.51878290279313,Kriv1,470.0351785862464
15931,0,1,98,23,470.6609011623948,Kriv1,470.17729684584805
15932,0,1,98,24,470.7780444329812,Kriv1,470.29444011643443
16078,0,1,99,6,468.24169935555716,Kriv1,467.7580950390104
16079,0,1,99,7,468.3838176151588,Kriv1,467.9002132986121
16080,0,1,99,8,468.5259358747605,Kriv1,468.04233155821373
16081,0,1,99,9,468.66805413436214,Kriv1,468.1844498178154
16082,0,1,99,10,468.8101723939638,Kriv1,468.32656807741705
16083,0,1,99,11,468.9522906535655,Kriv1,468.46868633701877
16084,0,1,99,12,469.0944089131672,Kriv1,468.6108045966204
16085,0,1,99,13,469.23652717276883,Kriv1,468.7529228562221
16086,0,1,99,14,469.3786454323705,Kriv1,468.89504111582374
16096,0,1,99,24,470.83259800807485,Kriv1,470.3489936915281
16097,0,1,99,25,470.96386754814364,Kriv1,470.4802632315969
16098,0,1,99,26,471.0951370882125,Kriv1,470.61153277166574
16262,0,1,100,26,471.1496906633061,Kriv1,470.66608634675936
16263,0,1,100,27,471.28096020337495,Kriv1,470.7973558868282
16264,0,1,100,28,471.41222974344373,Kriv1,470.928625426897
16265,0,1,100,29,471.5434992835126,Kriv1,471.0598949669658
16429,0,1,101,29,471.5980528586062,Kriv1,471.11444854205945
16430,0,1,101,30,471.72932239867504,Kriv1,471.2457180821283
16431,0,1,101,31,471.8605919387438,Kriv1,471.3769876221971
16595,0,1,102,31,471.9141391404782,Kriv1,471.43053482393145
16596,0,1,102,32,472.046227434863,Kriv1,471.56262311831625
16597,0,1,102,33,472.1783157292478,Kriv1,471.69471141270105
16598,0,1,102,34,472.3104040236326,Kriv1,471.82679970708585
16762,0,1,103,34,472.36294417201356,Kriv1,471.8793398554668
16763,0,1,103,35,472.49503246639836,Kriv1,472.0114281498516
16764,0,1,103,36,472.62712076078316,Kriv1,472.1435164442364
16928,0,1,104,36,472.67966090916406,Kriv1,472.1960565926173
16929,0,1,104,37,472.81174920354886,Kriv1,472.3281448870021
16930,0,1,104,38,472.94383749793366,Kriv1,472.4602331813869
16931,0,1,104,39,473.07592579231846,Kriv1,472.5923214757717
17095,0,1,105,39,473.1284659406994,Kriv1,472.64486162415267
17096,0,1,105,40,473.2605542350842,Kriv1,472.77694991853747
17097,0,1,105,41,473.392642529469,Kriv1,472.90903821292227
17261,0,1,106,41,473.44518267784997,Kriv1,472.9615783613032
17262,0,1,106,42,473.57727097223477,Kriv1,473.093666655688
17263,0,1,106,43,473.7093592666196,Kriv1,473.2257549500728
17264,0,1,106,44,473.8414475610044,Kriv1,473.3578432444576
17428,0,1,107,44,473.89398770938527,Kriv1,473.4103833928385
17429,0,1,107,45,474.0260760037701,Kriv1,473.5424716872233
17430,0,1,107,46,474.1581642981549,Kriv1,473.6745599816081
17594,0,1,108,46,474.21070444653583,Kriv1,473.7271001299891
17595,0,1,108,47,474.34279274092063,Kriv1,473.8591884243739
17596,0,1,108,48,474.47488103530543,Kriv1,473.9912767187587
17597,0,1,108,49,474.60696932969023,Kriv1,474.1233650131435
17761,0,1,109,49,474.65950947807113,Kriv1,474.1759051615244
17762,0,1,109,50,474.79159777245593,Kriv1,474.3079934559092
17763,0,1,109,51,474.92368606684073,Kriv1,474.440081750294
17927,0,1,110,51,474.9762262152217,Kriv1,474.49262189867494
17928,0,1,110,52,475.1083145096065,Kriv1,474.62471019305974
17929,0,1,110,53,475.2404028039913,Kriv1,474.75679848744454
17930,0,1,110,54,475.3724910983761,Kriv1,474.88888678182934
18094,0,1,111,54,475.42503124675704,Kriv1,474.9414269302103
18095,0,1,111,55,475.55711954114184,Kriv1,475.0735152245951
18096,0,1,111,56,475.68920783552664,Kriv1,475.2056035189799
18260,0,1,112,56,475.74174798390754,Kriv1,475.2581436673608
18261,0,1,112,57,475.87383627829234,Kriv1,475.3902319617456
18262,0,1,112,58,476.00592457267715,Kriv1,475.5223202561304
18263,0,1,112,59,476.13801286706195,Kriv1,475.6544085505152
18427,0,1,113,59,476.1905530154429,Kriv1,475.70694869889616
18428,0,1,113,60,476.3226413098277,Kriv1,475.83903699328096
18429,0,1,113,61,476.4547296042125,Kriv1,475.97112528766576
18593,0,1,114,61,476.5072697525934,Kriv1,476.02366543604666
18594,0,1,114,62,476.6393580469782,Kriv1,476.15575373043146
18595,0,1,114,63,476.771446341363,Kriv1,476.28784202481626
18596,0,1,114,64,476.9035346357478,Kriv1,476.41993031920106
18760,0,1,115,64,476.95607478412876,Kriv1,476.472470467582
18761,0,1,115,65,477.08816307851356,Kriv1,476.6045587619668
18762,0,1,115,66,477.22025137289836,Kriv1,476.7366470563516
18926,0,1,116,66,477.2727915212793,Kriv1,476.78918720473257
18927,0,1,116,67,477.4048798156641,Kriv1,476.92127549911737
18928,0,1,116,68,477.5369681100489,Kriv1,477.05336379350217
18929,0,1,116,69,477.66905640443366,Kriv1,477.1854520878869
19093,0,1,117,69,477.7215965528146,Kriv1,477.23799223626787
19094,0,1,117,70,477.8536848471994,Kriv1,477.3700805306527
