Node,SP,Layer,Row,Column,Stage,Cond,Rbott
18168,0,1,111,128,474.5054066547332,Kriv1,474.02180233818643
18169,0,1,111,129,474.41732168607047,Kriv1,473.9337173695237
18332,0,1,112,128,474.61698094837226,Kriv1,474.1333766318255
18495,0,1,113,127,474.7998846066019,Kriv1,474.31628029005515
18496,0,1,113,128,474.7517342495371,Kriv1,474.26812993299035
18659,0,1,114,127,474.93439012119217,Kriv1,474.4507858046454
18822,0,1,115,126,475.1237468191953,Kriv1,474.64014250264853
18823,0,1,115,127,475.0646448696909,Kriv1,474.58104055314413
18986,0,1,116,126,475.25284451960766,Kriv1,474.7692402030609
19150,0,1,117,126,475.38247788940794,Kriv1,474.8988735728612
19313,0,1,118,125,475.550816181496,Kriv1,475.06721186494923
19314,0,1,118,126,475.53631236118184,Kriv1,475.0527080446351
19477,0,1,119,125,475.7116161389259,Kriv1,475.22801182237913
19640,0,1,120,124,475.89967890480665,Kriv1,475.4160745882599
19641,0,1,120,125,475.87468954693213,Kriv1,475.3910852303854
19804,0,1,121,124,476.03622999795545,Kriv1,475.5526256814087
19968,0,1,122,124,476.14993767289786,Kriv1,475.6663333563511
19969,0,1,122,125,476.2005168082211,Kriv1,475.71691249167435
20133,0,1,123,125,476.3292351742253,Kriv1,475.84563085767854
20296,0,1,124,124,476.5045376400692,Kriv1,476.02093332352246
20297,0,1,124,125,476.4473346283568,Kriv1,475.9637303118101
20460,0,1,125,124,476.63467449171554,Kriv1,476.1510701751688
20623,0,1,126,123,476.8339713200987,Kriv1,476.350367003552
20624,0,1,126,124,476.74791585940574,Kriv1,476.264311542859
20786,0,1,127,122,477.0331737754062,Kriv1,476.5495694588595
20787,0,1,127,123,476.94711831471324,Kriv1,476.4635139981665
20945,0,1,128,117,477.9269153082514,Kriv1,477.44331099170466
20946,0,1,128,118,477.7794231143018,Kriv1,477.29581879775503
20947,0,1,128,119,477.67189198022254,Kriv1,477.1882876636758
20948,0,1,128,120,477.387236186897,Kriv1,476.90363187035024
20949,0,1,128,121,477.2491539442114,Kriv1,476.76554962766465
20950,0,1,128,122,477.1222089793543,Kriv1,476.63860466280755
21106,0,1,129,114,478.3796720335658,Kriv1,477.89606771701904
21107,0,1,129,115,478.26523005530197,Kriv1,477.7816257387552
21108,0,1,129,116,478.13555288910806,Kriv1,477.6519485725613
21109,0,1,129,117,478.0134418931265,Kriv1,477.5298375765798
21111,0,1,129,119,477.5644247464406,Kriv1,477.08082042989383
21112,0,1,129,120,477.4845404528202,Kriv1,477.0009361362735
21267,0,1,130,111,479.0152280057991,Kriv1,478.53162368925234
21268,0,1,130,112,478.8809434875151,Kriv1,478.39733917096834
21270,0,1,130,114,478.46931528828674,Kriv1,477.98571097174
21429,0,1,131,109,479.2990899266617,Kriv1,478.81548561011493
21430,0,1,131,110,479.1782946265114,Kriv1,478.69469030996464
21431,0,1,131,111,479.06615597099614,Kriv1,478.5825516544494
21432,0,1,131,112,478.82648839384206,Kriv1,478.3428840772953
21433,0,1,131,113,478.7013615258904,Kriv1,478.21775720934363
21434,0,1,131,114,478.58556668792795,Kriv1,478.1019623713812
21593,0,1,132,109,479.42806208770895,Kriv1,478.9444577711622
21757,0,1,133,109,479.56992291000574,Kriv1,479.086318593459
21921,0,1,134,109,479.69123120867306,Kriv1,479.2076268921263
21922,0,1,134,110,479.77366250493327,Kriv1,479.2900581883865
22086,0,1,135,110,479.8922759571091,Kriv1,479.4086716405624
22250,0,1,136,110,480.08813704822296,Kriv1,479.6045327316762
22413,0,1,137,109,480.30061978783414,Kriv1,479.8170154712874
22414,0,1,137,110,480.1945816999191,Kriv1,479.7109773833724
22576,0,1,138,108,480.48263599415856,Kriv1,479.9990316776118
22577,0,1,138,109,480.39570759772374,Kriv1,479.912103281177
22740,0,1,139,108,480.613070277168,Kriv1,480.12946596062125
22903,0,1,140,107,480.81357718658853,Kriv1,480.3299728700418
22904,0,1,140,108,480.7241340862859,Kriv1,480.24052976973917
23066,0,1,141,106,480.99130211497754,Kriv1,480.5076977984308
23067,0,1,141,107,480.93228099497986,Kriv1,480.4486766784331
23230,0,1,142,106,481.1182627281297,Kriv1,480.63465841158296
23393,0,1,143,105,481.3671032294721,Kriv1,480.88349891292535
23394,0,1,143,106,481.240209016796,Kriv1,480.7566047002492
23557,0,1,144,105,481.5010645944457,Kriv1,481.017460277899
23721,0,1,145,105,481.6545343339576,Kriv1,481.17093001741085
23884,0,1,146,104,481.80435924969873,Kriv1,481.320754933152
23885,0,1,146,105,481.79688779671534,Kriv1,481.3132834801686
24048,0,1,147,104,481.9684577241631,Kriv1,481.48485340761636
24049,0,1,147,105,481.92534962991834,Kriv1,481.4417453133716
24212,0,1,148,104,482.1012282044794,Kriv1,481.61762388793267
24376,0,1,149,104,482.2487248644381,Kriv1,481.76512054789134
24539,0,1,150,103,482.4086424262258,Kriv1,481.92503810967906
24540,0,1,150,104,482.3856861661206,Kriv1,481.90208184957385
24702,0,1,151,102,482.72675704842516,Kriv1,482.2431527318784
24703,0,1,151,103,482.55967670898997,Kriv1,482.0760723924432
24862,0,1,152,98,483.2647594690511,Kriv1,482.78115515250437
24863,0,1,152,99,483.1865931631054,Kriv1,482.70298884655864
24864,0,1,152,100,483.027236604885,Kriv1,482.54363228833824
24865,0,1,152,101,482.8933317953926,Kriv1,482.40972747884587
24866,0,1,152,102,482.7173010991589,Kriv1,482.2336967826121
25026,0,1,153,98,483.36311664487135,Kriv1,482.8795123283246
25189,0,1,154,97,483.6634674062243,Kriv1,483.17986308967755
25190,0,1,154,98,483.517712912268,Kriv1,483.03410859572125
25350,0,1,155,94,484.0705592445902,Kriv1,483.58695492804344
25351,0,1,155,95,483.9643119546089,Kriv1,483.48070763806214
25352,0,1,155,96,483.8261371409754,Kriv1,483.34253282442864
25353,0,1,155,97,483.6696421852227,Kriv1,483.18603786867595
25514,0,1,156,94,484.1514032317769,Kriv1,483.66779891523015
25678,0,1,157,94,484.29190430895807,Kriv1,483.8082999924113
25679,0,1,157,95,484.32709577794395,Kriv1,483.8434914613972
25843,0,1,158,95,484.46195498687985,Kriv1,483.9783506703331
26007,0,1,159,95,484.5959589119238,Kriv1,484.11235459537704
26171,0,1,160,95,484.7276067266339,Kriv1,484.24400241008715
26172,0,1,160,96,484.75464068103906,Kriv1,484.2710363644923
26334,0,1,161,94,485.04269991562643,Kriv1,484.5590955990797
26335,0,1,161,95,484.93412791124706,Kriv1,484.4505235947003
26498,0,1,162,94,485.13234123508147,Kriv1,484.6487369185347
26661,0,1,163,93,485.3300463853323,Kriv1,484.84644206878556
26662,0,1,163,94,485.27537173614166,Kriv1,484.7917674195949
26825,0,1,164,93,485.4380252796465,Kriv1,484.9544209630998
26826,0,1,164,94,485.49184948647763,Kriv1,485.0082451699309
26989,0,1,165,93,485.62440668317146,Kriv1,485.1408023666247
26990,0,1,165,94,485.60430305926667,Kriv1,485.1206987427199
27153,0,1,166,93,485.7812918666497,Kriv1,485.297687550103
27315,0,1,167,91,486.12284135987187,Kriv1,485.6392370433251
27316,0,1,167,92,486.0079269190022,Kriv1,485.52432260245547
27317,0,1,167,93,485.8963993117694,Kriv1,485.41279499522267
27478,0,1,168,90,486.3210101035495,Kriv1,485.83740578700275
27479,0,1,168,91,486.2050088877381,Kriv1,485.72140457119133
27640,0,1,169,88,486.6486998697287,Kriv1,486.16509555318197
27641,0,1,169,89,486.519261421665,Kriv1,486.0356571051183
27642,0,1,169,90,486.40233867955953,Kriv1,485.9187343630128
27803,0,1,170,87,486.79982936760626,Kriv1,486.3162250510595
27804,0,1,170,88,486.7337772866401,Kriv1,486.25017297009333
27967,0,1,171,87,486.930838607401,Kriv1,486.4472342908542
28131,0,1,172,87,487.0637353726963,Kriv1,486.5801310561496
28295,0,1,173,87,487.2057519274147,Kriv1,486.722147610868
28459,0,1,174,87,487.3354581129281,Kriv1,486.85185379638136
28460,0,1,174,88,487.37404349162614,Kriv1,486.8904391750794
28623,0,1,175,87,487.549963520679,Kriv1,487.06635920413225
28624,0,1,175,88,487.4717917992042,Kriv1,486.98818748265745
28786,0,1,176,86,487.7595936306656,Kriv1,487.2759893141189
28787,0,1,176,87,487.66026596761236,Kriv1,487.1766616510656
28949,0,1,177,85,487.96772894573127,Kriv1,487.4841246291845
28950,0,1,177,86,487.85929651292616,Kriv1,487.3756921963794
29109,0,1,178,81,488.58594523937563,Kriv1,488.1023409228289
29110,0,1,178,82,488.45491916384077,Kriv1,487.971314847294
29111,0,1,178,83,488.3134258831915,Kriv1,487.82982156664474
29112,0,1,178,84,488.17275972482605,Kriv1,487.6891554082793
29113,0,1,178,85,488.05470430608204,Kriv1,487.5710999895353
29272,0,1,179,80,488.78310028247375,Kriv1,488.299495965927
29273,0,1,179,81,488.65757256542634,Kriv1,488.1739682488796
29436,0,1,180,80,488.92660431654673,Kriv1,488.443
18168,1,1,111,128,474.5054066547332,Kriv1,474.02180233818643
18169,1,1,111,129,474.41732168607047,Kriv1,473.9337173695237
18332,1,1,112,128,474.61698094837226,Kriv1,474.1333766318255
18495,1,1,113,127,474.7998846066019,Kriv1,474.31628029005515
18496,1,1,113,128,474.7517342495371,Kriv1,474.26812993299035
18659,1,1,114,127,474.93439012119217,Kriv1,474.4507858046454
18822,1,1,115,126,475.1237468191953,Kriv1,474.64014250264853
18823,1,1,115,127,475.0646448696909,Kriv1,474.58104055314413
18986,1,1,116,126,475.25284451960766,Kriv1,474.7692402030609
19150,1,1,117,126,475.38247788940794,Kriv1,474.8988735728612
19313,1,1,118,125,475.550816181496,Kriv1,475.06721186494923
19314,1,1,118,126,475.53631236118184,Kriv1,475.0527080446351
19477,1,1,119,125,475.7116161389259,Kriv1,475.22801182237913
19640,1,1,120,124,475.89967890480665,Kriv1,475.4160745882599
19641,1,1,120,125,475.87468954693213,Kriv1,475.3910852303854
19804,1,1,121,124,476.03622999795545,Kriv1,475.5526256814087
19968,1,1,122,124,476.14993767289786,Kriv1,475.6663333563511
19969,1,1,122,125,476.2005168082211,Kriv1,475.71691249167435
20133,1,1,123,125,476.3292351742253,Kriv1,475.84563085767854
20296,1,1,124,124,476.5045376400692,Kriv1,476.02093332352246
20297,1,1,124,125,476.4473346283568,Kriv1,475.9637303118101
20460,1,1,125,124,476.63467449171554,Kriv1,476.1510701751688
20623,1,1,126,123,476.8339713200987,Kriv1,476.350367003552
20624,1,1,126,124,476.74791585940574,Kriv1,476.264311542859
20786,1,1,127,122,477.0331737754062,Kriv1,476.5495694588595
20787,1,1,127,123,476.94711831471324,Kriv1,476.4635139981665
20945,1,1,128,117,477.9269153082514,Kriv1,477.44331099170466
20946,1,1,128,118,477.7794231143018,Kriv1,477.29581879775503
20947,1,1,128,119,477.67189198022254,Kriv1,477.1882876636758
