x,y
694124.0466820507,5352057.373846412
696205.0268075084,5351923.977684526
697094.3345534309,5351876.547938077
697900.6402430672,5351829.118191628
698149.6464119254,5351840.97562824
698837.3777354388,5351781.688445179
699359.1049463799,5351674.971515668
699631.8259884628,5351556.397149544
699774.1152278103,5351497.109966483
699999.4065234441,5351508.967403095
700141.6957627917,5351568.254586157
699999.4065234441,5351176.959177951
699999.4065234441,5350821.236079582
700046.8362698932,5350394.368361539
699928.2619037703,5350038.645263171
699726.6854813612,5349730.3519112505
699465.8218758906,5349505.060615617
699264.2454534816,5349113.765207411
699264.2454534816,5348876.616475165
699465.8218758906,5348414.176447285
699608.1111152382,5347999.166165855
699560.681368789,5347501.1538281385
699311.6751999308,5347157.288166381
699015.2392846233,5346837.13737785
698825.5202988265,5346540.701462543
698778.0905523773,5346137.548617724
698730.660805928,5345841.112702416
698540.9418201318,5345485.38960405
698244.5059048244,5345236.383435192
698114.074102089,5345058.521886007
698066.6443556399,5344809.515717149
698078.5017922522,5344607.93929474
697912.49767968,5344335.218252656
697639.7766375971,5344109.926957022
697497.4873982496,5343932.065407839
697402.6279053512,5343706.774112205
697426.342778576,5343564.484872856
697426.342778576,5343434.053070121
697389.2882891626,5343364.390630023
697254.4099476972,5343155.403309734
696993.5463422266,5343013.114070387
696732.682736756,5342941.969450712
696448.1042580609,5342930.1120141
696282.1001454887,5342989.399197161
696044.9514132427,5343084.25869006
695761.8551141246,5343311.032165267
695458.0083009343,5343671.201802367
695161.572385627,5343837.205914939
694936.2810899932,5343955.780281062
694710.9897943595,5344098.06952041
694497.5559353381,5344157.356703471
694224.8348932553,5344169.214140084
693931.3633371011,5344201.822090765
693682.3571682428,5344225.53696399
693326.6340698738,5344201.822090765
693053.913027791,5344201.822090765
692662.6176195851,5344166.249780928
692120.1398945721,5344044.711055654
692090.4963030412,5344489.364928614
692140.8904086436,5346146.441695182
692401.7540141143,5347557.476652046
692718.9404434932,5348568.3231232455
692956.0891757391,5349149.337517248
693255.4894501998,5349857.819354831
693596.3907528033,5350613.730938866
694005.4723159276,5351354.820727134
694124.0466820507,5352057.373846412
