Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,474.20423160000007,474.15425,0.3438838422754202,474.01724,474.3571275,472.86792,476.42526,300
2,474.2042304333334,474.15425,0.3438834132592204,474.01724,474.3571225,472.86792,476.42526,300
3,474.2042248333334,474.154225,0.34388077119495736,474.01724,474.3571025,472.86792,476.42526,300
4,474.2042122666668,474.15416,0.3438754447328217,474.01724,474.35703,472.86792,476.42523,300
5,474.2041869,474.15404,0.343867033137408,474.01724,474.35695499999997,472.86792,476.42523,300
6,474.20555533333334,474.155385,0.34387308728689747,474.018635,474.35823500000004,472.8693,476.42685,300
7,474.2055515333333,474.15536499999996,0.34385436699807703,474.0186175,474.357805,472.86932,476.42682,300
8,474.2054782333334,474.15529000000004,0.3438245337608694,474.0185375,474.3571625,472.86932,476.42673,300
9,474.2791548333333,474.227165,0.3448355289568796,474.09274500000004,474.430965,472.9411,476.51337,300
10,474.2918154333334,474.24013,0.3450349718460627,474.10573,474.44482,472.9527,476.52722,300
11,474.30946389999997,474.257935,0.3450190221400213,474.1235475,474.4637125,472.96976,476.545,300
12,474.3108375,474.259365,0.3446782871820479,474.1247625,474.4658375,472.97137,476.54355,300
13,474.3102827333333,474.258835,0.3441983016516241,474.12402,474.46567,472.97156,476.53986,300
14,474.30893796666663,474.25802,0.34365492749879134,474.12280499999997,474.46415,472.9713,476.53577,300
15,474.30705570000003,474.25697,0.34309242400142986,474.1208675,474.46124,472.9707,476.5316,300
16,474.3047956,474.25550999999996,0.34254235629574276,474.1184725,474.457875,472.96973,476.5275,300
17,474.3022702666666,474.25369,0.3420324066974679,474.1160625,474.4556725,472.9685,476.5236,300
18,474.3000059666667,474.25201500000003,0.3415760014190097,474.11424999999997,474.4539525,472.96744,476.52036,300
19,474.3174517666667,474.268295,0.34145521302099324,474.1323275,474.4719825,472.98544,476.5407,300
20,474.3158892,474.26653999999996,0.34113372026820565,474.1317825,474.471015,472.98462,476.5386,300
21,474.3320762,474.28252499999996,0.3410382273170563,474.1488975,474.4857425,473.00116,476.55716,300
22,474.3299383333333,474.28066,0.34071912552896394,474.14790500000004,474.484575,472.9997,476.55405,300
23,474.32841986666665,474.27948000000004,0.3403821916581138,474.1475625,474.48402749999997,472.99896,476.5515,300
24,474.3606238,474.311555,0.34054193642324593,474.1803625,474.51712000000003,473.0311,476.5891,300
25,474.3753383,474.326845,0.3405112047467903,474.1958125,474.53274999999996,473.04578,476.60587,300
26,474.4292259333333,474.380005,0.34096232124306963,474.25025,474.5876,473.0987,476.66815,300
27,474.4434903,474.393035,0.34081756742805525,474.265305,474.603005,473.11273,476.68268,300
28,474.4466339333332,474.396165,0.3403180436325132,474.269345,474.607485,473.11646,476.6828,300
29,474.44288309999996,474.393065,0.33962402805660263,474.26607,474.6023125,473.11395,476.67496,300
30,474.56879076666667,474.51762499999995,0.34082426708262903,474.3906475,474.72807,473.23788,476.8234,300
31,474.57023946666664,474.51822000000004,0.34032561492740315,474.392385,474.72601000000003,473.23932,476.82114,300
32,474.59602590000003,474.54193,0.3399974103972805,474.4183125,474.75302,473.2654,476.84607,300
33,474.65037003333333,474.594135,0.3400635752115552,474.47303250000004,474.807575,473.31973,476.90637,300
34,474.80142193333324,474.74267,0.341752149066535,474.61866,474.95610750000003,473.46823,477.09402,300
35,474.8815828000001,474.82075,0.3428141532903222,474.698285,475.029475,473.54636,477.19373,300
36,474.89268043333334,474.832425,0.34272088325751715,474.708525,475.04148,473.55753,477.18524,300
37,474.93069760000003,474.87096499999996,0.3435319405696844,474.7440375,475.0803,473.59625,477.2225,300
38,474.93438260000005,474.87519,0.3441960467610105,474.74443249999996,475.084975,473.602,477.20743,300
39,474.9387626333333,474.87942,0.3453384394880835,474.7481575,475.095025,473.60928,477.1973,300
40,474.94526506666665,474.87910999999997,0.34632971366458637,474.752255,475.1059325,473.61975,477.19037,300
41,474.95098476666675,474.88250500000004,0.3468980069006025,474.7494625,475.1210625,473.63028,477.18314,300
42,474.977267,474.90549999999996,0.34750726058841713,474.7777525,475.14815500000003,473.66122,477.208,300
43,475.00733916666667,474.93734500000005,0.3475033968222077,474.8086425,475.17864,473.6959,477.2366,300
44,475.00882846666667,474.93835,0.3461436012625142,474.8097775,475.18027500000005,473.70258,477.2208,300
45,475.0064136666667,474.93399,0.3443187007166798,474.806245,475.17742,473.7055,477.2043,300
46,475.0114237666667,474.93914,0.34218106328007103,474.8110825,475.18145749999996,473.71567,477.20175,300
47,475.0041995333333,474.93411000000003,0.33917879374421833,474.8025375,475.17261499999995,473.71384,477.1818,300
48,474.99422039999996,474.928635,0.33578057426416524,474.79607,475.160545,473.7091,477.16132,300
49,474.9829143666667,474.91850999999997,0.3322754362401776,474.78614500000003,475.1456375,473.7027,477.14185,300
50,474.9687619,474.908345,0.3288392574851583,474.77449,475.127475,473.69293,477.1207,300
51,474.9903629666667,474.93336,0.3265350610325518,474.795115,475.1391625,473.71735,477.15292,300
52,474.97534469999994,474.91551,0.3237403383591692,474.7815,475.11596499999996,473.70505,477.12915,300
53,474.95873366666666,474.89878,0.32132124332183387,474.7697,475.09857750000003,473.69092,477.10687,300
54,474.94135223333336,474.88277500000004,0.31935915869025056,474.7586675,475.07855,473.67566,477.08594,300
55,474.9783647666666,474.923665,0.31886835547753056,474.7966975,475.1187875,473.71292,477.14026,300
56,474.9706726666667,474.919735,0.317808645837223,474.79258749999997,475.110405,473.70578,477.1281,300
57,474.9546146666666,474.89679,0.31687738336495724,474.77847,475.098695,473.69046,477.10602,300
58,474.93807400000003,474.881745,0.3161891057178698,474.76408250000003,475.08582,473.67484,477.08545,300
59,474.9217821666666,474.86438499999997,0.31577784371237844,474.74886499999997,475.07250750000003,473.65936,477.06635,300
60,474.9062146333333,474.845795,0.3156347171888182,474.7336875,475.05953500000004,473.64447,477.04913,300
61,474.89262393333325,474.82998,0.3157227600831609,474.719485,475.04615,473.63132,477.03482,300
62,474.87881316666665,474.81458,0.31585054445465977,474.70513,475.0326025,473.61798,477.01984,300
63,474.8651677333333,474.80087,0.3158920126375387,474.6910425,475.0190125,473.60498,477.0046,300
64,474.8513856999999,474.78749000000005,0.3158624991931,474.67573999999996,475.00532,473.59204,476.98932,300
65,474.8680278666667,474.80265499999996,0.31626315156124246,474.6908125,475.0225075,473.60873,477.0134,300
66,474.86133060000003,474.795075,0.3163418651306013,474.6841575,475.01409,473.60233,477.00665,300
67,474.8635765333334,474.79759,0.3165288203202276,474.6866875,475.013855,473.6047,477.01105,300
68,474.8527631333334,474.78577,0.31655482713770544,474.675955,475.0000025,473.59433,476.9987,300
69,474.8384674333333,474.770615,0.3165531977226143,474.66233750000004,474.98211249999997,473.58066,476.98227,300
70,474.87853,474.81097,0.3173705417363113,474.7019525,475.021215,473.6199,477.0363,300
71,474.8877185333334,474.82124999999996,0.31784703040065604,474.71119,475.02885000000003,473.62842,477.04913,300
72,474.87572273333336,474.81077000000005,0.3180236181866498,474.6984875,475.01416,473.6164,477.03333,300
73,474.8620701333333,474.79749000000004,0.3181234055991203,474.6851725,474.99779,473.60327,477.01575,300
74,474.85368480000005,474.7887,0.31827568998007433,474.676185,474.99123,473.59555,477.00595,300
75,474.84019280000007,474.77644,0.31855663462900774,474.66314,474.98,473.58264,476.99115,300
76,474.8619699000001,474.795315,0.3195384000601343,474.682525,475.00375,473.60373,477.02243,300
77,474.8640333666667,474.795975,0.32042782766534456,474.68225,475.006475,473.6051,477.02713,300
78,474.8553561,474.78526,0.32109066287647947,474.670125,474.99690250000003,473.5963,477.01605,300
79,474.89014423333333,474.82081,0.32221052458562643,474.70038,475.03134750000004,473.6305,477.06055,300
80,474.8843637,474.81404,0.3225767347303754,474.6947825,475.02529499999997,473.6253,477.05066,300
81,474.874953,474.80260999999996,0.3226676142715089,474.68452249999996,475.01638249999996,473.61728,477.0359,300
82,474.86419589999997,474.79061,0.32261794095315927,474.6741075,475.006025,473.6084,477.02066,300
83,474.8525229333333,474.779385,0.3225281269606247,474.66306,474.996055,473.59875,477.00574,300
84,474.8400427666666,474.76547000000005,0.3223844351195419,474.65057249999995,474.9857275,473.58835,476.99075,300
85,474.8572159333333,474.78107,0.32267821827654997,474.66672500000004,475.00442999999996,473.60666,477.01468,300
86,474.8656415666666,474.79074,0.3228805829217353,474.67553,475.0130325,473.6159,477.02707,300
87,474.88815453333336,474.81267,0.3233834133575534,474.69908999999996,475.03492500000004,473.63843,477.05756,300
88,474.8764717,474.79996,0.3234686037326924,474.6872325,475.02272750000003,473.6272,477.04288,300
89,474.8642276,474.7884,0.32367132017872735,474.674605,475.0090125,473.61545,477.0282,300
90,474.85207153333334,474.776295,0.3239121303959621,474.66314750000004,474.9953825,473.6038,477.01422,300
91,474.8582955333333,474.78147,0.32431963388820834,474.671105,475.00126,473.61014,477.02383,300
92,474.8525666333333,474.77499,0.324450719331918,474.666365,474.99485749999997,473.60477,477.01758,300
93,474.84046393333335,474.762375,0.32442272679822315,474.654545,474.98103000000003,473.5932,477.0032,300
94,474.82771363333336,474.750275,0.32431883139661577,474.64241000000004,474.9675525,473.5811,476.9885,300
95,474.8523768333333,474.77503,0.3247559532053356,474.66624,474.99263,473.6053,477.0224,300
96,474.84268123333345,474.766255,0.3247418003319134,474.6569225,474.982795,473.59546,477.01135,300
97,474.84833856666665,474.77281,0.3249838702186304,474.6626175,474.988605,473.6006,477.01996,300
98,474.8385012666667,474.76358000000005,0.3250544593085826,474.6531525,474.978575,473.59048,477.00858,300
99,474.8262606,474.75087,0.3250714301662125,474.6413275,474.9660525,473.5782,476.99414,300
100,474.8136804,474.7383,0.32503945243386456,474.6291875,474.95326,473.56573,476.97964,300
101,474.8008568333334,474.7253,0.32498017264899776,474.61688000000004,474.94008499999995,473.5531,476.9654,300
102,474.8269869000001,474.75059999999996,0.32548270402699214,474.64234,474.96646499999997,473.57834,477.00125,300
103,474.8247549333334,474.74833,0.32566865674433804,474.64006,474.9638425,473.57538,476.99997,300
104,474.8130315,474.737095,0.3256948963719733,474.6287225,474.9512825,473.56332,476.9858,300
105,474.8006374,474.725375,0.3256873950512044,474.617155,474.93805000000003,473.5508,476.97128,300
106,474.78793813333334,474.71326,0.3256759598084908,474.60516,474.92454,473.53815,476.95712,300
107,474.7751259,474.699965,0.3256884903526532,474.5922225,474.9139525,473.52536,476.9435,300
108,474.7624815333333,474.68677,0.32572783993233184,474.5797775,474.90465,473.5127,476.93048,300
109,474.7497589,474.67349,0.3258066949554439,474.5673725,474.89430999999996,473.49982,476.91772,300
110,474.73740749999996,474.66101000000003,0.32598333089195963,474.555575,474.8828125,473.48712,476.90598,300
111,474.72544913333337,474.648955,0.3262034282835102,474.54353249999997,474.870935,473.47467,476.8948,300
112,474.7244056333334,474.647915,0.3265580017045438,474.542035,474.8701125,473.47275,476.89694,300
113,474.8555970333334,474.77662,0.32872153334527193,474.670345,475.00181,473.59924,477.06702,300
114,474.86919723333335,474.78968,0.32954586594081187,474.683175,475.014595,473.60953,477.08313,300
115,474.86311066666667,474.78419499999995,0.3299835610423975,474.6765325,475.006935,473.60153,477.06998,300
116,474.8805070666667,474.80228999999997,0.33063902891228997,474.6926925,475.02269,473.61755,477.08847,300
117,474.87314180000004,474.796695,0.3307340910309866,474.68481499999996,475.0155075,473.61014,477.0736,300
118,474.8642165999999,474.78861,0.33057576474454275,474.67465,475.00617750000004,473.60214,477.0574,300
119,474.8545904333334,474.77871000000005,0.33029389152714456,474.66472999999996,474.99658,473.594,477.042,300
120,474.8613289666667,474.78497500000003,0.33019154549028856,474.67186499999997,475.00278000000003,473.60202,477.04904,300
121,474.8547063666667,474.777025,0.32992121234490546,474.66557,474.995575,473.59686,477.03937,300
122,474.84262613333345,474.763185,0.32959260860904505,474.65395,474.983905,473.58633,477.02332,300
123,474.8297133333333,474.74933,0.32928514394096553,474.642355,474.9714125,473.57495,477.0072,300
124,474.8162533666667,474.73551999999995,0.3290282869739305,474.63021000000003,474.95835,473.5629,476.99146,300
125,474.8024742,474.72019,0.32884298729894335,474.618,474.944925,473.5503,476.9762,300
126,474.7885579333334,474.7072,0.3287461950315591,474.6057575,474.9307475,473.53732,476.96155,300
127,474.7746161333334,474.694425,0.32872177393917157,474.591905,474.916305,473.52405,476.9475,300
128,474.7611370333333,474.681435,0.3287628427507157,474.5768375,474.902375,473.51102,476.9343,300
129,474.7473807666666,474.66706,0.32885526878513827,474.5627275,474.88923,473.49747,476.92102,300
130,474.7432082666666,474.66233,0.3291163869692034,474.558945,474.8855525,473.49304,476.91977,300
131,474.7304960000001,474.64896999999996,0.3293719736852748,474.5464425,474.8729525,473.47992,476.9082,300
