Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,470.89681816666666,470.882565,0.3727839151505494,470.679185,471.10986,469.83875,472.32837,300
2,470.8968155333334,470.882565,0.3727815856906689,470.679185,471.10986,469.83875,472.32837,300
3,470.89680776666665,470.882565,0.3727763069706535,470.679185,471.10986,469.83875,472.32837,300
4,470.89678993333337,470.88255000000004,0.3727638551549685,470.679185,471.10986,469.83875,472.32837,300
5,470.8967596333333,470.882535,0.3727470613595771,470.679185,471.10986,469.83875,472.32837,300
6,470.8978633999999,470.883665,0.3727280674706961,470.680345,471.11099,469.83984,472.32953,300
7,470.8978481333333,470.883665,0.37269389477404646,470.68037499999997,471.1110275,469.83987,472.3296,300
8,470.89778816666666,470.88365,0.3726437618400525,470.680405,471.1110275,469.83987,472.32965,300
9,470.9580143,470.94379000000004,0.3729555397870409,470.74075,471.1708875,469.89764,472.39108,300
10,470.9688032666667,470.95478,0.3731757708337051,470.75095250000004,471.181545,469.90607,472.4033,300
11,470.9846733999999,470.971405,0.37327882275109103,470.76638,471.1975225,469.91977,472.42065,300
12,470.98784586666665,470.97522000000004,0.3731789244150609,470.7698275,471.201165,469.92154,472.42493,300
13,470.9893933666666,470.97731,0.37287807140985313,470.771435,471.20331,469.92273,472.42743,300
14,470.9898524000001,470.97727,0.37245069164330347,470.771655,471.2044,469.9239,472.42892,300
15,470.98932953333326,470.976,0.3719598409709256,470.7707375,471.204445,469.9249,472.42957,300
16,470.9880222666667,470.974425,0.3714515359983435,470.7695075,471.20319,469.92572,472.42953,300
17,470.9861281333333,470.97220000000004,0.3709483141892521,470.76811000000004,471.2013025,469.92633,472.429,300
18,470.9841662666667,470.97046,0.3704652348683517,470.76500999999996,471.1993275,469.92706,472.42844,300
19,470.9980997666667,470.983385,0.37010617211949404,470.7778525,471.2130325,469.9431,472.44406,300
20,470.99645940000005,470.98075,0.369740788819644,470.7754625,471.2112525,469.94373,472.4441,300
21,471.0094655333334,470.99312,0.3694503458202688,470.78765749999997,471.22401,469.9585,472.45898,300
22,471.00758300000007,470.991035,0.369116746942842,470.78508750000003,471.222035,469.95862,472.45886,300
23,471.00635099999994,470.99012,0.3687458385695137,470.78337750000003,471.2208575,469.95865,472.4592,300
24,471.03258376666673,471.01635999999996,0.36851894987749684,470.809015,471.24678,469.98505,472.4875,300
25,471.04455743333335,471.02833499999997,0.36830635769480347,470.82036500000004,471.2584775,469.99704,472.5017,300
26,471.0889256666667,471.07234500000004,0.36827127336139215,470.863735,471.3021075,470.04016,472.54926,300
27,471.1013829666666,471.084795,0.36812781178036225,470.87522,471.3140825,470.05173,472.5648,300
28,471.10539036666665,471.08923500000003,0.3678066492015418,470.87836500000003,471.31757749999997,470.05563,472.5715,300
29,471.10377236666665,471.08835999999997,0.3673135087561192,470.8763475,471.316275,470.05493,472.57224,300
30,471.2076418333333,471.19102,0.3673488890672905,470.9821525,471.41907,470.15643,472.68176,300
31,471.21023533333334,471.19275000000005,0.367111186329459,470.98698,471.41968499999996,470.1577,472.68893,300
32,471.23532556666663,471.217385,0.36667865049206205,471.013465,471.44394,470.18097,472.7171,300
33,471.28380610000005,471.26527,0.3660731782541914,471.0636,471.4921675,470.22778,472.7696,300
34,471.4108096666667,471.391665,0.3658410554852407,471.193825,471.61728,470.35056,472.90704,300
35,471.48426859999995,471.46763999999996,0.3653675307139923,471.267835,471.69019,470.41733,472.98862,300
36,471.50851763333327,471.50085,0.3637639113427809,471.29263249999997,471.7132375,470.43475,473.01044,300
37,471.55778549999997,471.550385,0.36112952524186814,471.345375,471.7600625,470.47656,473.05322,300
38,471.5820900999999,471.579465,0.3577301314198417,471.382295,471.78434,470.4856,473.06406,300
39,471.6074543666667,471.60208,0.3538213168440614,471.4060575,471.79793,470.49564,473.0722,300
40,471.63111913333336,471.61485,0.3496604264872547,471.4397275,471.819075,470.50778,473.07965,300
41,471.6504687666667,471.638065,0.34564809094435855,471.4537075,471.832145,470.51993,473.08493,300
42,471.68309036666665,471.67259,0.34197990717418736,471.4954175,471.85802249999995,470.54877,473.1077,300
43,471.7150601666667,471.70237999999995,0.3385697053896568,471.53638,471.889375,470.58084,473.1344,300
44,471.72169193333326,471.706315,0.3354426723037219,471.54936,471.89719,470.59106,473.13638,300
45,471.7237838,471.708175,0.3326181793100902,471.5557075,471.8971,470.5993,473.13443,300
46,471.72904706666674,471.714265,0.3299587912059043,471.5618975,471.9011925,470.61404,473.13876,300
47,471.7212677333333,471.70553,0.3275402674871114,471.55154,471.88835,470.6195,473.13254,300
48,471.7089255333333,471.6884,0.3255677091718126,471.5410925,471.8762225,470.62326,473.12405,300
49,471.69362583333333,471.67076,0.32414461053924415,471.52220250000005,471.86351,470.62604,473.1146,300
50,471.6746238,471.64711,0.3233168615258005,471.50346,471.84443,470.6263,473.10287,300
51,471.683957,471.662515,0.32323007114386265,471.5075225,471.8563275,470.65396,473.1227,300
52,471.6632906,471.6445,0.32363478407557017,471.4803875,471.8393825,470.65146,473.1118,300
53,471.64186473333336,471.62903,0.32444002529424293,471.4524725,471.81799,470.64752,473.09918,300
54,471.6201331333334,471.610855,0.3255374975905479,471.4242125,471.7970725,470.64243,473.08557,300
55,471.64298436666667,471.62625,0.3270690722613987,471.44608,471.8208525,470.67902,473.11926,300
56,471.62994139999995,471.61647500000004,0.32866950794484595,471.431955,471.8138925,470.67862,473.11533,300
57,471.6117565333333,471.59653000000003,0.33019959894481404,471.41695,471.7961475,470.6694,473.10376,300
58,471.5938839,471.57573,0.3315593416958545,471.39889,471.776405,470.65158,473.09103,300
59,471.5770406,471.5558,0.33273995201404044,471.383355,471.759325,470.6348,473.07797,300
60,471.56165743333327,471.540625,0.3336794993449257,471.368745,471.7440275,470.61945,473.065,300
61,471.5487504666666,471.52813,0.3343404901999081,471.3559125,471.73253,470.6066,473.05322,300
62,471.53564736666664,471.5155,0.33475521624125915,471.3430325,471.7198075,470.59433,473.0408,300
63,471.5218614,471.50256,0.3350885886658031,471.330195,471.7057975,470.5825,473.0282,300
64,471.5072351666666,471.489065,0.33548497066531335,471.31703500000003,471.6937825,470.5705,473.01535,300
65,471.516914,471.49876500000005,0.3361282587525172,471.32857,471.705355,470.5821,473.02878,300
66,471.5073787666667,471.48911999999996,0.3368585850968893,471.3200875,471.6978325,470.57434,473.02304,300
67,471.5054905666667,471.48671,0.33768753960134823,471.318175,471.69866249999995,470.5738,473.02524,300
68,471.49319146666664,471.47211000000004,0.3385077406586857,471.30623249999996,471.68831,470.56287,473.0166,300
69,471.4782859666667,471.45455000000004,0.3392940792381504,471.28995999999995,471.6751125,470.54947,473.00485,300
70,471.5078297333333,471.480815,0.3402877662272461,471.31837499999995,471.70475999999996,470.57895,473.03986,300
71,471.5126943000001,471.48317,0.34122746756063377,471.3216875,471.7081225,470.58328,473.04968,300
72,471.5017450666666,471.472165,0.3419060406568785,471.31038,471.6966025,470.57196,473.0416,300
73,471.48980986666663,471.46071,0.3423434371368136,471.2989975,471.68645250000003,470.56058,473.03156,300
