Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,478.1381092666667,478.00225,0.5703369166683826,477.7800075,478.4264175,477.03455,480.49072,300
2,478.1381090666667,478.00225,0.5703367536135685,477.7800075,478.42641000000003,477.03455,480.49072,300
3,478.1380688666667,478.00217,0.5703123815062955,477.7800075,478.42634,477.03455,480.49072,300
4,478.13798360000004,478.00201500000003,0.5702686881032831,477.779985,478.426175,477.03455,480.4907,300
5,478.1378729666667,478.00185,0.5702229228721564,477.779985,478.425985,477.03452,480.49066,300
6,478.1401137333334,478.004045,0.5701186206425786,477.782475,478.427995,477.037,480.49234,300
7,478.13966946666665,478.00352499999997,0.570022031388597,477.782305,478.4272925,477.0367,480.49173,300
8,478.1392220333333,478.00301,0.569940864628542,477.782125,478.42662,477.03644,480.49136,300
9,478.26505223333334,478.12618999999995,0.5679428112055053,477.90993000000003,478.5449325,477.16608,480.58084,300
10,478.2692130000001,478.13505499999997,0.56662830684821,477.91200499999997,478.54846,477.17258,480.56384,300
11,478.2841665333334,478.151415,0.5655763308985357,477.9260825,478.55807,477.18927,480.56534,300
12,478.2753006,478.14286000000004,0.5659234272575882,477.9205,478.54909,477.17935,480.55307,300
13,478.2628493666666,478.127935,0.5653516021078665,477.910635,478.5332025,477.1679,480.54172,300
14,478.2516573000001,478.11485,0.5651392183380196,477.90150500000004,478.519175,477.15692,480.53412,300
15,478.24139670000005,478.10283000000004,0.5651626823450445,477.89189999999996,478.509865,477.14615,480.52856,300
16,478.23234813333335,478.09247,0.5654102569077751,477.88219250000003,478.5015025,477.1359,480.52454,300
17,478.22438336666664,478.08516499999996,0.5657666871909309,477.87348249999997,478.49442999999997,477.1263,480.5214,300
18,478.21811876666663,478.07979,0.566157768899103,477.86661,478.4891725,477.11832,480.51938,300
19,478.24628516666667,478.108215,0.5660346607446443,477.8952825,478.5170675,477.14587,480.5415,300
20,478.23809486666664,478.09916999999996,0.5661827465300551,477.886895,478.5085,477.13654,480.53223,300
21,478.26197726666663,478.12248,0.5660046958072531,477.9113125,478.5305925,477.16003,480.54913,300
22,478.2521723,478.11252,0.5662569955091432,477.900895,478.52026,477.14902,480.53842,300
23,478.2457820333333,478.105945,0.5666040929033829,477.89365499999997,478.514135,477.14124,480.53378,300
24,478.29811993333334,478.15695,0.566116254117469,477.94765,478.562985,477.1941,480.57178,300
25,478.3134474333333,478.169675,0.5657259536286805,477.9647625,478.577265,477.2098,480.5746,300
26,478.39484313333327,478.25136499999996,0.5644639095349809,478.04904,478.65072999999995,477.29337,480.6266,300
27,478.3991292666667,478.254225,0.5639376086555389,478.0538575,478.64538000000005,477.29837,480.61414,300
28,478.3869337333333,478.239335,0.5639654744923617,478.04100999999997,478.6295025,477.28564,480.59796,300
29,478.36679770000006,478.21666500000003,0.5643302449810551,478.019455,478.6100475,477.26416,480.58188,300
30,478.57061550000003,478.418775,0.5615409042186952,478.222485,478.8057075,477.4733,480.72885,300
31,478.5374629666667,478.38646,0.561582007679079,478.189385,478.7803425,477.43982,480.67416,300
32,478.57090700000003,478.420975,0.5638798471273236,478.2230125,478.808835,477.46655,480.69226,300
33,478.6373216666667,478.499,0.5610362007938715,478.2879075,478.87386749999996,477.53983,480.7266,300
34,478.8584376333334,478.73737500000004,0.5553727349033851,478.51162,479.08719,477.77295,480.8966,300
35,478.97798300000005,478.851375,0.5574283687527328,478.6198325,479.21618,477.88013,480.97107,300
36,478.99880859999996,478.871885,0.561066581038329,478.6383125,479.23696,477.88727,480.92807,300
37,479.05400719999994,478.92650000000003,0.5568779123118694,478.709675,479.3070975,477.95416,480.94366,300
38,479.0804696333333,478.980655,0.560739431121265,478.721155,479.35331,477.981,480.90787,300
39,479.0926232666666,478.99035000000003,0.5592942638182472,478.729935,479.382565,478.01242,480.88464,300
40,479.0801213,478.978965,0.5525695909922199,478.728565,479.3641525,478.03256,480.85233,300
41,479.06879139999995,478.96497999999997,0.5500728721857752,478.7167,479.351875,478.04327,480.82956,300
42,479.08731746666655,478.979665,0.5462710434026768,478.732865,479.362025,478.0808,480.84082,300
43,479.0962664000001,478.983995,0.5402596229903807,478.74777,479.359155,478.10834,480.85944,300
44,479.0636767666667,478.95627,0.5400399579418926,478.7163925,479.31962250000004,478.08075,480.82874,300
45,479.02982223333333,478.91819499999997,0.540469359972124,478.68302500000004,479.2818475,478.0487,480.7999,300
46,478.9953696333334,478.87701,0.5370766743531117,478.65814,479.249235,478.02225,480.78668,300
47,478.9386454,478.82066,0.536116545335843,478.59967500000005,479.18224,477.96744,480.7544,300
48,478.88425143333336,478.76182500000004,0.5377923190541233,478.542835,479.1123425,477.9075,480.72528,300
49,478.83171983333335,478.68648,0.5403324654996868,478.4769275,479.04787500000003,477.84595,480.7025,300
50,478.77945873333334,478.641065,0.5437283813036267,478.4207,478.9893475,477.78156,480.68356,300
51,478.7944152666667,478.657105,0.5468289236287049,478.4396,479.00361,477.7837,480.72098,300
52,478.74465430000004,478.60569999999996,0.5509594064585659,478.39088250000003,478.9536475,477.7186,480.6946,300
53,478.7005896333333,478.561425,0.5552008626081787,478.34783,478.9132625,477.65826,480.67532,300
54,478.66111463333334,478.51268,0.5589920000365519,478.3050625,478.88313000000005,477.60336,480.65967,300
55,478.7180297,478.572125,0.5612681309305235,478.36400249999997,478.9521725,477.64914,480.72546,300
56,478.69013143333336,478.5479,0.564056153690638,478.3330175,478.92620500000004,477.60977,480.70667,300
57,478.6598385333333,478.51826500000004,0.5674781218013453,478.297025,478.8968375,477.56528,480.6874,300
58,478.62835163333335,478.48762,0.5691463341745528,478.264015,478.862055,477.5253,480.6694,300
59,478.6081698333333,478.46871999999996,0.5714244287430377,478.24153,478.8355925,477.49463,480.6598,300
60,478.59353709999993,478.4554,0.5729333111255251,478.218975,478.82642250000004,477.47208,480.65326,300
61,478.58511506666673,478.448685,0.5737391506497782,478.21764,478.80728750000003,477.4587,480.6498,300
62,478.56768700000003,478.42566,0.572710867504423,478.197545,478.7850075,477.4433,480.63828,300
63,478.5430786666667,478.39902,0.5713025420582543,478.17467,478.75716,477.42334,480.62207,300
64,478.51979176666663,478.37656000000004,0.5713428358413284,478.1506875,478.7334975,477.401,480.6088,300
65,478.54893250000003,478.406665,0.571412495288139,478.17721,478.7656775,477.43066,480.64227,300
66,478.5321125666666,478.39160000000004,0.5721252243938797,478.15994750000004,478.752385,477.41238,480.63116,300
67,478.5331936333332,478.39409,0.5730567146689165,478.16398000000004,478.75718500000005,477.41092,480.63757,300
68,478.5113446000001,478.374605,0.5741814582100092,478.14215750000005,478.7380775,477.38568,480.62305,300
69,478.48625833333335,478.35046,0.5753465600637776,478.1166075,478.71439,477.35678,480.60767,300
70,478.55685616666665,478.42366,0.5756221622253368,478.1854,478.787355,477.42615,480.67587,300
71,478.5668842333333,478.43794,0.5765764067335264,478.19674,478.7984,477.43344,480.68213,300
72,478.5458717666666,478.415545,0.5781704784385638,478.172565,478.7795275,477.40732,480.66086,300
73,478.5190179333333,478.391075,0.5781594509473382,478.14831000000004,478.7518125,477.3806,480.63916,300
74,478.5041572333333,478.37789999999995,0.5784486802445644,478.1353025,478.73649,477.3654,480.63028,300
75,478.5032727333333,478.366185,0.5816381398824028,478.12967749999996,478.72902,477.354,480.6297,300
76,478.56637813333333,478.425515,0.5821601095476365,478.1998625,478.80031,477.41425,480.68274,300
77,478.58955083333325,478.448865,0.5816133036938184,478.2344375,478.8374175,477.43976,480.69086,300
78,478.5822120333333,478.437135,0.5788445531380015,478.22451,478.8338275,477.4433,480.67386,300
79,478.6405325333334,478.49602,0.574370797505916,478.28458750000004,478.8845,477.51785,480.7189,300
80,478.6203207,478.476485,0.572304273486733,478.26655999999997,478.8585675,477.5083,480.69214,300
81,478.596188,478.45325,0.5713704131296959,478.2447925,478.828485,477.49112,480.6695,300
82,478.5711164666666,478.42839000000004,0.5709000629732389,478.22042,478.79786,477.47073,480.6507,300
83,478.5486897666667,478.40576,0.5713076553390006,478.19773499999997,478.7738025,477.4496,480.63632,300
84,478.52159090000004,478.37825,0.571080049155566,478.1667625,478.740235,477.42462,480.62018,300
85,478.5471239666668,478.404755,0.5710776506219893,478.181695,478.760465,477.4509,480.65097,300
86,478.55392710000007,478.41017,0.5719479605820137,478.17965000000004,478.76556,477.4557,480.66052,300
87,478.5928559,478.450105,0.5739678394406689,478.218385,478.807555,477.48816,480.69547,300
88,478.5725324333333,478.42993,0.5759908894601362,478.1953475,478.78847,477.46094,480.67374,300
89,478.56529209999997,478.42061,0.5784337929333453,478.200895,478.7919025,477.44528,480.6647,300
90,478.5498961,478.40251,0.5777140680761756,478.19131500000003,478.780125,477.43134,480.6505,300
91,478.55746256666663,478.41005,0.5755201301018165,478.19523,478.7795725,477.44556,480.65903,300
92,478.5435083666667,478.39707999999996,0.5752381457231429,478.177305,478.764675,477.4336,480.64737,300
93,478.5226045666667,478.37561000000005,0.5761000530968095,478.1544325,478.74384,477.41095,480.63153,300
94,478.49770449999994,478.34604,0.5761412994750091,478.1290925,478.7195325,477.38605,480.61554,300
95,478.53956686666675,478.39032,0.5761462107748186,478.16744500000004,478.760455,477.42752,480.65817,300
96,478.5190354666667,478.370635,0.5773232285090528,478.145565,478.73879,477.4032,480.64023,300
