Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,468.6054517,468.597185,0.6873223557531866,468.3330425,468.93702,465.87207,471.00632,300
2,468.6054387666666,468.597185,0.6873109415881669,468.3330425,468.93702,465.87207,471.00616,300
3,468.60540476666665,468.597175,0.6872859762992485,468.3330125,468.93702,465.87207,471.00592,300
4,468.6053548,468.59716000000003,0.6872535444518465,468.333005,468.93699,465.87207,471.00558,300
5,468.6052789666667,468.59713999999997,0.6872045992099194,468.3329975,468.936945,465.87207,471.00507,300
6,468.60642286666666,468.59834,0.687158644721713,468.3341725,468.9381125,465.8732,471.00577,300
7,468.60631000000006,468.59830999999997,0.6870766169959981,468.334095,468.9379925,465.8732,471.00497,300
8,468.60610073333334,468.598225,0.6869593225081047,468.33399000000003,468.9378125,465.87317,471.0038,300
9,468.6721491333334,468.664875,0.687685774807008,468.3982,469.00432,465.93344,471.07254,300
10,468.6829913333333,468.67479000000003,0.6876478390534565,468.40722,469.01331500000003,465.9417,471.0827,300
11,468.6975503333333,468.689435,0.6872426323654225,468.42145,469.0261675,465.95468,471.09473,300
12,468.7012040666667,468.693725,0.6865278619775461,468.4259975,469.031315,465.95596,471.09134,300
13,468.69957413333333,468.69284,0.6853964689892393,468.42623000000003,469.02759,465.95554,471.0843,300
14,468.6958264666667,468.69056,0.6843102338025115,468.4249,469.02201,465.95416,471.0762,300
15,468.6910155666667,468.6866,0.6833375519224333,468.422545,469.01572749999997,465.95206,471.06793,300
16,468.68601993333334,468.682275,0.682510047072811,468.4185075,469.009795,465.94955,471.0601,300
17,468.6811274666667,468.677815,0.6817985517225121,468.41447000000005,469.004285,465.94693,471.0528,300
18,468.67681303333325,468.673085,0.6811977751733578,468.4113575,468.99915250000004,465.94455,471.0466,300
19,468.6903030666666,468.685745,0.6809127434823029,468.42629250000005,469.01204,465.95828,471.05966,300
20,468.6868894333334,468.68163000000004,0.6804856091659924,468.42400250000003,469.007555,465.95593,471.0552,300
21,468.6993259,468.69335,0.6802210535712068,468.437365,469.01914999999997,465.96832,471.06723,300
22,468.6958494333333,468.68921,0.6797707605288799,468.43454249999996,469.01565750000003,465.96555,471.06216,300
23,468.69308090000004,468.68602,0.6792637804796621,468.432525,469.01283,465.9637,471.05756,300
24,468.7203236333333,468.713775,0.6791495598524678,468.45950999999997,469.04006,465.98956,471.08502,300
25,468.7315875333333,468.72565,0.6788797266864848,468.4703175,469.0516125,466.0001,471.09598,300
26,468.77764890000003,468.77031,0.6789417239089491,468.51706,469.0983125,466.04257,471.14294,300
27,468.7881475,468.77922,0.678446545692006,468.528885,469.10981,466.0517,471.15143,300
28,468.7883646,468.779515,0.6775291034271819,468.531065,469.11132,466.05234,471.14746,300
29,468.7819166333334,468.77608,0.6763906606390004,468.5256875,469.10631,466.04788,471.13623,300
30,468.8904487333333,468.8923,0.6767637758723958,468.631355,469.2168275,466.14935,471.2476,300
