Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,477.3957296333333,477.407115,0.17351954916818962,477.28503750000004,477.50501499999996,476.707,478.03732,300
2,477.39572913333336,477.407115,0.1735185445091728,477.28503750000004,477.50501499999996,476.707,478.03732,300
3,477.3957038666667,477.407115,0.17350145945701842,477.28503,477.50501499999996,476.707,478.03732,300
4,477.3956435,477.407115,0.17346437867590175,477.2849925,477.505,476.707,478.0373,300
5,477.3955498666667,477.40709,0.17341460555169178,477.2849375,477.50491999999997,476.707,478.03726,300
6,477.39675300000005,477.40843,0.1733470558917383,477.2861725,477.506215,476.7083,478.03867,300
7,477.3966066333333,477.40846,0.17324473471267468,477.2860825,477.5061325,476.7083,478.03867,300
8,477.3963691,477.40843,0.1731258353708552,477.2859025,477.5059675,476.70828,478.03854,300
9,477.46658276666676,477.47873000000004,0.1732997980091519,477.35689,477.577595,476.7775,478.11493,300
10,477.47838996666655,477.489985,0.1729123182762453,477.368745,477.59004,476.78958,478.13034,300
11,477.4950438333334,477.50683,0.17238950754702392,477.3853325,477.60722499999997,476.80692,478.14877,300
12,477.4962247333334,477.506035,0.17171329531594876,477.3864375,477.607805,476.80933,478.1497,300
13,477.4956344,477.50291500000003,0.17102506674746265,477.3863625,477.60604,476.81012,478.14774,300
14,477.4943859333334,477.49987999999996,0.17036810213415962,477.38546,477.6037,476.81033,478.14484,300
15,477.4927196333333,477.497165,0.16975564493765458,477.38428,477.60175,476.81012,478.14154,300
16,477.49078019999996,477.494185,0.16919520453200385,477.38345000000004,477.598145,476.80957,478.13812,300
17,477.48865500000005,477.492295,0.16868823828095794,477.38196500000004,477.5953175,476.80872,478.1347,300
18,477.4868332333333,477.49144,0.1682354097959528,477.38088000000005,477.5928775,476.8081,478.13187,300
19,477.5038764666667,477.509015,0.1679012082967711,477.398605,477.609715,476.8259,478.14975,300
20,477.5027599333333,477.50798,0.16747070634789377,477.39825,477.60841,476.82584,478.14874,300
21,477.51867550000003,477.524245,0.16713038101658956,477.414105,477.62507,476.84247,478.16568,300
22,477.51715063333336,477.52342,0.16670954815266528,477.412915,477.622085,476.84195,478.16412,300
23,477.5163127666667,477.5233,0.1663250514364728,477.41255,477.6194625,476.84207,478.16266,300
24,477.5477908333333,477.55539,0.16611112721801224,477.444105,477.6496775,476.87387,478.19617,300
25,477.5625630333333,477.57095,0.1657673263698211,477.45919000000004,477.66376,476.88928,478.2127,300
26,477.614837,477.62287,0.16552125350641014,477.5116375,477.7150625,476.94168,478.26938,300
27,477.6293116333334,477.637075,0.16497492091324767,477.526855,477.730325,476.95724,478.28592,300
28,477.6332926,477.64106000000004,0.1643112532519909,477.531235,477.7321625,476.9628,478.2893,300
29,477.63086316666664,477.63896,0.16362967864960426,477.5295625,477.72857,476.96222,478.28467,300
30,477.7524147666667,477.76129000000003,0.1634764295475406,477.652445,477.84927500000003,477.08353,478.4145,300
31,477.75489989999994,477.76228000000003,0.16262448156716588,477.65701,477.847485,477.08823,478.41934,300
32,477.78030743333335,477.786285,0.16181577124746682,477.683715,477.868845,477.11597,478.44528,300
33,477.8329229333333,477.83734,0.1611320391254594,477.73678,477.91978,477.17062,478.50046,300
34,477.9779204000001,477.97981000000004,0.1608080594741438,477.88554,478.0615275,477.31635,478.6576,300
35,478.0544304333333,478.05465000000004,0.16024604840727066,477.962755,478.134755,477.395,478.74454,300
