Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,470.8592293,470.788175,0.5143327499740259,470.514955,471.08880999999997,469.60767,472.80966,300
2,470.8592190333334,470.788175,0.514319771359608,470.514955,471.08880999999997,469.60767,472.80954,300
3,470.8591960333333,470.788165,0.5142944502065578,470.514955,471.08880999999997,469.60767,472.80933,300
4,470.8591595,470.788145,0.5142593516266072,470.514955,471.08880999999997,469.60767,472.809,300
5,470.8591022333334,470.788115,0.5142066317444889,470.51492499999995,471.0887775,469.60767,472.8085,300
6,470.86029763333323,470.78936,0.514155106236822,470.516195,471.0900825,469.60886,472.8093,300
7,470.8602456666667,470.78937499999995,0.5140614471823594,470.5162375,471.0901275,469.60895,472.8085,300
8,470.86008576666666,470.78925,0.5139388491702209,470.516185,471.090075,469.609,472.8074,300
9,470.9272695333333,470.8577,0.5146844555464215,470.5835425,471.1586125,469.67166,472.8791,300
10,470.9395019666666,470.87043500000004,0.5143280342632814,470.596025,471.172095,469.68472,472.88895,300
11,470.9544623333333,470.885565,0.5136250583410904,470.61118,471.1890025,469.70242,472.9,300
12,470.9579431333333,470.888625,0.5129938150369671,470.61559,471.1935475,469.70715,472.8956,300
13,470.9555711333333,470.8861,0.5116415180534587,470.61343999999997,471.193035,469.70963,472.8873,300
14,470.9516497666666,470.88169000000005,0.5105290282366696,470.60961499999996,471.191055,469.7114,472.87854,300
15,470.9468256333333,470.876345,0.5096119095402555,470.60474999999997,471.18758,469.71255,472.87,300
16,470.94190253333335,470.871505,0.5089142942921859,470.5997125,471.183615,469.71332,472.86224,300
17,470.9371073333333,470.86589000000004,0.508380418785207,470.59483750000004,471.1794625,469.71378,472.85526,300
18,470.9329224,470.86103,0.5079825704407297,470.59133,471.1756125,469.7143,472.84952,300
19,470.9468718,470.87474,0.5078979785824059,470.6058225,471.1903425,469.73138,472.8639,300
20,470.94398813333333,470.87142,0.5076039601649925,470.60352,471.1885675,469.73282,472.85974,300
21,470.9569002666666,470.88412,0.5074826952773162,470.61699,471.2025025,469.74915,472.87265,300
22,470.9538487666667,470.88054,0.5071750376087921,470.61442,471.20035,469.75037,472.8677,300
23,470.95115346666665,470.87721999999997,0.506842171783272,470.61237,471.19667499999997,469.75192,472.8632,300
24,470.9789617666666,470.9048,0.5069149974652684,470.641005,471.22371000000004,469.78186,472.8922,300
25,470.9911432,470.91742,0.5067159434026388,470.65469,471.234925,469.79776,472.90372,300
